ID	V6	V7	V9	V11	P6	P7	P9	P11	T6	T7	T9	T11	age6	sex	race	moedu	moeducat	faedu	faeducat
 43	19.0327380952	32.2767857143	37.5	49.1666666667	18.4604559527	26.5645229384	51.8538324421	50.9031100478	18.746597024	29.4206543263	44.676916221	50.0348883573	5.75	2	1	3	1	3	1
 45	19.255952381	31.443452381	34.568452381	34.3005952381	14.7958298152	29.3036401163	44.5513181349	48.890139788	17.0258910981	30.3735462486	39.5598852579	41.595367513	6.25	1	1	5	0	6	0
 47	20.0297619048	19.9255952381	28.0208333333	34.1369047619	21.3800544141	23.5786659161	33.1661037621	52.0400600432	20.7049081594	21.7521305771	30.5934685477	43.0884824025	6.25	2	1	6	0	5	0
 48	19.4345238095	29.375	45.8035714286	61.369047619	18.072755418	21.2412046158	39.1184679613	54.6243784595	18.7536396137	25.3081023079	42.461019695	57.9967130393	5.75	1	1	4	0	4	0
 50	15.4761904762	24.1517857143	31.4732142857	44.5386904762	23.2948681865	32.8773806173	48.3143353035	67.8935641242	19.3855293313	28.5145831658	39.8937747946	56.2161273002	5.91666666667	2	1	2	2	2	2
 51	12.8422619048	19.2857142857	25.0892857143	32.5595238095	22.1019795478	29.1262078994	52.4683366169	68.384698377	17.4721207263	24.2059610926	38.7788111656	50.4721110932	6.66666666667	2	2	4	0	3	1
 52	19.9553571429	36.2946428571	35.4464285714	48.3333333333	20.3156956563	30.0431560184	51.0584951684	58.8720799325	20.1355263996	33.1688994378	43.2524618699	53.6027066329	5.58333333333	1	2	4	0	6	0
 53	6.57738095238	11.4285714286	21.6964285714	31.2797619048	9.19938549583	24.9593066892	36.1752978703	45.4368374144	7.8883832241	18.1939390589	28.9358632209	38.3582996596	5.66666666667	1	2	6	0	7	0
 55	17.8720238095	25.0	34.0922619048	43.0357142857	24.6487709917	36.643681396	39.2223707665	54.2900365888	21.2603974006	30.821840698	36.6573163356	48.6628754373	6.25	2	1	3	1	3	1
 56	20.4910714286	27.2470238095	34.880952381	49.806547619	20.7198142415	36.4884135472	46.8313162586	63.1059433343	20.605442835	31.8677186784	40.8561343198	56.4562454767	6.41666666667	2	1	3	1	2	2
 58	23.6904761905	24.375	31.4732142857	42.5	22.1755089596	26.7050145417	48.7894033211	54.3539497139	22.932992575	25.5400072709	40.1313088034	48.4269748569	5.91666666667	1	1	4	0	3	1
 60	8.72023809524	24.1071428571	30.6398809524	39.9702380952	2.8624871001	9.3104418801	21.4298949245	27.3337086031	5.79136259767	16.7087923686	26.0348879384	33.6519733491	5.58333333333	1	2	6	0	6	0
 61	27.2916666667	30.431547619	48.9285714286	62.380952381	29.5843887794	41.4811426963	51.3011305	61.1036448072	28.4380277231	35.9563451577	50.1148509643	61.7422985941	5.83333333333	2	1	3	1	2	2
 62	13.318452381	17.3363095238	32.8422619048	44.8214285714	19.1140116334	32.8233183225	42.9065812928	46.5449385496	16.2162320072	25.0798139232	37.8744215988	45.6831835605	6.08333333333	2	1	3	1	3	1
 63	35.1488095238	30.119047619	41.6220238095	54.494047619	28.6850314288	38.9153532226	49.6413828689	60.6378412609	31.9169204763	34.5172004208	45.6317033392	57.56594444	6.41666666667	1	1	3	1	3	1
 65	20.7142857143	27.7232142857	30.431547619	36.5625	18.4255089596	22.9796416174	35.3767942584	43.4041654939	19.5698973369	25.3514279516	32.9041709387	39.983332747	5.66666666667	2	2	2	2	2	2
 69	12.380952381	19.1964285714	24.7470238095	30.6398809524	19.548503612	29.7700300216	44.0572520874	57.1865325077	15.9647279965	24.4832292965	34.4021379485	43.9132067301	6.08333333333	1	2	4	0	#	#
 70	23.4821428571	34.4047619048	40.2083333333	48.943452381	24.6837179848	39.9956609438	48.4000609813	68.240102261	24.082930421	37.2002114243	44.3041971573	58.591777321	6.41666666667	2	1	3	1	5	0
 71	16.5773809524	20.9672619048	29.181547619	35.2529761905	7.22746036214	20.484332489	24.2291725303	40.120672671	11.9024206573	20.7257971969	26.7053600747	37.6868244307	6.33333333333	2	2	4	0	4	0
 72	17.5297619048	30.0297619048	34.6577380952	50.3571428571	17.3307768083	34.6501782531	40.5787362792	52.8318791631	17.4302693565	32.3399700789	37.6182371872	51.5945110101	6.08333333333	2	2	4	0	6	0
 73	13.2738095238	22.5892857143	23.6160714286	36.3541666667	2.52157800919	10.4977014729	28.2058588986	31.1813960034	7.8976937665	16.5434935936	25.9109651636	33.767781335	6.08333333333	2	2	6	0	6	0
 74	26.1011904762	34.7172619048	52.7083333333	54.5982142857	31.8294399099	37.4272914908	44.7108077681	60.9231635238	28.9653151931	36.0722766978	48.7095705507	57.7606889047	5.91666666667	1	1	3	1	4	0
 75	13.0208333333	15.7589285714	24.7321428571	22.7380952381	6.49216624449	22.478891078	21.7559104982	31.1218219345	9.75649978891	19.1189098247	23.2440266777	26.9299585863	6.0	2	2	6	0	3	1
 77	16.0416666667	18.75	33.4970238095	45.5654761905	23.1529693217	24.9043062201	31.6643212309	51.6718266254	19.5973179942	21.82715311	32.5806725202	48.6186514079	5.83333333333	2	1	4	0	3	1
 79	27.4553571429	36.130952381	41.7708333333	58.4523809524	15.6262313538	34.731447603	45.4398864809	52.4935500516	21.5407942483	35.431199992	43.6053599071	55.472965502	6.16666666667	1	1	3	1	3	1
 80	14.7023809524	21.1011904762	25.193452381	33.0952380952	1.68859649123	19.4764987335	34.2933201989	36.1762360447	8.1954887218	20.2888446048	29.7433862899	34.6357370699	6.16666666667	1	1	4	0	6	0
 83	31.3244047619	36.9791666667	42.8273809524	55.9672619048	23.4938784126	37.0397082278	52.6617177972	56.2558635895	27.4091415873	37.0094374472	47.7445493748	56.1115627471	6.41666666667	1	1	2	2	2	2
 84	18.4523809524	26.4136904762	29.6875	48.7351190476	7.74216624449	17.2706163805	35.6852190637	36.7197907871	13.0972735984	21.8421534284	32.6863595319	42.7274549174	5.58333333333	1	2	3	1	6	0
 86	10.5505952381	13.2142857143	25.625	34.0922619048	9.27291490759	20.4575945211	44.0891500141	43.644338118	9.91175507284	16.8359401177	34.857075007	38.8683000114	6.25	1	2	6	0	4	0
 87	27.5744047619	26.2053571429	35.4464285714	58.9880952381	15.8000281452	32.5883056572	43.7631344404	55.5843653251	21.6872164536	29.3968314	39.6047815059	57.2862302816	5.83333333333	1	1	2	2	2	2
 88	22.7976190476	34.6428571429	40.1636904762	47.931547619	31.3911952341	47.3274931982	48.097734309	64.0036588798	27.0944071408	40.9851751705	44.1307123926	55.9676032494	6.25	2	1	3	1	2	2
 89	17.7380952381	18.244047619	26.5178571429	36.0863095238	11.8865512712	15.0616849611	25.5387465991	26.5471667136	14.8123232547	16.6528662901	26.028301871	31.3167381187	6.33333333333	2	2	4	0	4	0
 90	10.1488095238	18.8244047619	29.2857142857	36.3988095238	9.10474716202	12.3251477625	31.5198423867	36.7074772493	9.62677834292	15.5747762622	30.4027783362	36.5531433865	6.0	1	2	4	0	5	0
 91	15.2380952381	15.5357142857	20.5357142857	24.6577380952	14.8091987991	14.1556431185	34.1262078994	34.1540013134	15.0236470186	14.8456787021	27.3309610926	29.4058697043	6.41666666667	2	2	4	0	3	1
 92	13.9583333333	14.5982142857	23.9285714286	37.9017857143	8.99216624449	19.7572473966	26.8565296932	31.4837226757	11.4752497889	17.1777308411	25.3925505609	34.692754195	6.16666666667	2	2	4	0	4	0
 94	26.5029761905	33.4226190476	44.3005952381	48.8392857143	15.8498686556	27.0658598368	28.2531194296	36.8384698377	21.176422423	30.2442394422	36.2768573338	42.838877776	6.41666666667	2	1	2	2	2	2
 95	11.5625	18.9285714286	23.318452381	32.3214285714	12.7637442537	19.8204568909	40.5967961347	57.5238061732	12.1631221268	19.3745141597	31.9576242578	44.9226173723	5.91666666667	1	2	6	0	6	0
 96	17.619047619	29.3601190476	32.5892857143	40.4166666667	13.7797870344	33.3934937611	38.0967961347	54.0113988179	15.6994173267	31.3768064044	35.3430409245	47.2140327423	6.0	2	1	5	0	6	0
 97	16.5178571429	22.4851190476	19.4791666667	37.3660714286	17.2958298152	19.4764987335	37.6699268224	40.1924430059	16.906843479	20.9808088905	28.5745467445	38.7792572172	6.08333333333	2	2	4	0	4	0
 98	13.4375	26.5178571429	26.0863095238	30.9672619048	11.652594052	22.5379960597	29.752556525	40.3710479407	12.545047026	24.5279266013	27.9194330244	35.6691549227	6.08333333333	2	2	4	0	4	0
 99	10.8630952381	17.931547619	21.2351190476	26.0863095238	2.34778121775	20.6128623698	26.6036917159	34.8769818932	6.60543822792	19.2722049944	23.9194053818	30.4816457085	5.91666666667	2	2	5	0	5	0
101	20.1339285714	24.3005952381	34.8363095238	33.7202380952	36.5101088282	32.6315789474	47.8900459705	53.6099774838	28.3220186998	28.4660870927	41.3631777472	43.6651077895	5.91666666667	1	1	3	1	3	1
103	24.0773809524	26.8452380952	28.8095238095	37.7083333333	14.651350971	18.5807768083	30.8277042875	39.8382822028	19.3643659617	22.7130074518	29.8186140485	38.7733077681	6.5	2	2	4	0	5	0
104	21.0267857143	30.744047619	37.2172619048	57.8571428571	19.9778356319	32.6999484004	46.2641898865	61.1314382212	20.5023106731	31.7219980097	41.7407258956	59.4942905392	6.25	2	2	2	2	3	1
106	26.056547619	22.7827380952	37.3363095238	41.2648809524	21.6006426494	32.6315789474	42.9584154236	60.9216389905	23.8285951342	27.7071585213	40.1473624737	51.0932599715	6.08333333333	1	1	3	1	2	2
107	21.4880952381	25.9970238095	33.2589285714	40.1041666667	9.35465334459	14.8806173187	29.2907402195	41.1592316352	15.4213742913	20.4388205641	31.2748343955	40.631699151	6.33333333333	2	2	3	1	#	#
108	33.9583333333	37.5	52.8422619048	57.4702380952	35.9635050192	33.986889014	49.3755277231	64.7549019608	34.9609191763	35.743444507	51.1088948139	61.112570028	6.33333333333	2	1	3	1	3	1
109	13.2738095238	20.0297619048	21.681547619	30.0148809524	14.5310301154	15.1115254714	27.9497373112	39.3354207712	13.9024198196	17.5706436881	24.8156424651	34.6751508618	5.83333333333	2	2	4	0	6	0
111	24.4791666667	24.2708333333	37.1875	39.0625	20.3866450887	21.802701942	41.1016511868	55.9921193358	22.4329058777	23.0367676377	39.1445755934	47.5273096679	6.16666666667	1	2	3	1	3	1
112	17.2023809524	28.1845238095	28.4821428571	43.5416666667	19.2492260062	25.8416596304	40.3561544235	43.0304203021	18.2258034793	27.0130917199	34.4191486403	43.2860434844	5.66666666667	1	1	3	1	3	1
113	19.0476190476	29.3452380952	34.1666666667	45.7142857143	20.2719532789	21.4617928511	43.9841917628	57.3639647246	19.6597861633	25.4035154732	39.0754292147	51.5391252195	6.41666666667	2	1	3	1	6	0
114	15.8333333333	16.25	26.0416666667	35.8333333333	11.8628623698	25.0698939863	38.9024533258	53.0740454076	13.8480978516	20.6599469932	32.4720599962	44.4536893705	6.25	1	1	6	0	6	0
116	18.244047619	26.5625	30.9672619048	40.8482142857	17.8321137067	36.200511305	46.9403790224	61.923374613	18.0380806629	31.3815056525	38.9538204636	51.3857944494	6.08333333333	1	1	3	1	4	0
117	23.0654761905	20.9375	30.3422619048	27.693452381	13.8399474622	20.4925415142	32.463880289	43.7353410264	18.4527118264	20.7150207571	31.4030710969	35.7143967037	5.5	2	2	2	2	3	1
118	19.255952381	21.9642857143	28.4523809524	42.0535714286	3.55356975326	18.1262313538	48.1302185946	68.287949151	11.4047610671	20.045258534	38.2912997735	55.1707602898	6.25	1	2	5	0	5	0
119	22.1875	27.7827380952	32.4702380952	37.3958333333	13.1365512712	19.7706163805	30.3834787504	52.9222957125	17.6620256356	23.7766772379	31.4268584228	45.1590645229	5.75	2	2	5	0	4	0
120	28.2738095238	31.8452380952	34.8660714286	52.5	24.882141852	40.7997936017	54.9756074679	64.0371986115	26.5779756879	36.3225158484	44.9208394482	58.2685993058	6.16666666667	1	1	6	0	4	0
121	18.4226190476	19.7023809524	25.2976190476	30.744047619	3.23529411765	7.93085655315	14.1875410451	20.5059104982	10.8289565826	13.8166187528	19.7425800464	25.6249790586	6.5	1	2	3	1	5	0
122	26.1011904762	32.6488095238	35.1785714286	54.8958333333	32.9590017825	38.1013697345	47.2544328736	50.4187775589	29.5300961294	35.3750896292	41.2165021511	52.6573054461	6.08333333333	2	1	2	2	2	2
123	23.005952381	32.8571428571	35.1785714286	51.6071428571	23.8198939863	33.6625152453	45.3212074303	67.2173749883	23.4129231836	33.2598290512	40.2498894295	59.4122589227	5.91666666667	2	1	3	1	6	0
124	12.1279761905	22.5297619048	26.8154761905	36.0119047619	12.7637442537	22.4495731307	27.7795759452	56.4189886481	12.4458602221	22.4896675177	27.2975260678	46.215446705	6.33333333333	1	2	2	2	4	0
125	14.0029761905	26.0267857143	35.7589285714	44.8511904762	27.8588516746	41.1958204334	44.8331222441	62.4642321043	20.9309139326	33.6113030739	40.2960254078	53.6577112903	6.41666666667	1	1	2	2	2	2
126	18.6160714286	19.3898809524	24.9255952381	37.1726190476	14.2841729993	22.9925415142	33.534806267	45.6996434938	16.450122214	21.1912112333	29.2302007525	41.4361312707	5.91666666667	2	1	3	1	4	0
127	21.9642857143	27.5595238095	39.0178571429	49.9404761905	18.6141992682	45.7469040248	43.5379726053	63.7239656628	20.2892424913	36.6532139171	41.2779148741	56.8322209266	6.5	1	1	3	1	3	1
128	31.3392857143	25.1488095238	41.6666666667	50.9375	34.2835866404	37.2468102073	57.8570925978	68.493643869	32.8114361773	31.1978098656	49.7618796322	59.7155719345	6.41666666667	1	1	3	1	3	1
129	12.1279761905	23.630952381	26.1160714286	55.5803571429	28.0320621071	37.489445539	44.7035369172	63.1166150671	20.0800191488	30.56019896	35.4098041729	59.348486105	6.08333333333	1	1	3	1	3	1
130	16.2053571429	26.9345238095	21.4285714286	40.0148809524	8.00696594427	15.4683835257	32.3651374425	37.4654048222	12.1061615436	21.2014536676	26.8968544356	38.7401428873	6.5	2	2	6	0	#	#
131	15.5654761905	23.7351190476	31.5922619048	32.2172619048	16.8762313538	24.1875410451	37.3640819964	49.3791631485	16.2208537721	23.9613300464	34.4781719506	40.7982125266	6.41666666667	2	2	5	0	6	0
132	20.7589285714	21.0714285714	39.806547619	48.0654761905	30.5439065578	39.8305422648	57.8534571723	70.4075194671	25.6514175646	30.4509854181	48.8300023957	59.2364978288	5.58333333333	2	1	3	1	2	2
133	20.505952381	26.4136904762	35.8779761905	42.2023809524	11.5605356975	24.5968195891	36.1625152453	55.9283234825	16.0332440392	25.5052550326	36.0202457179	49.0653522174	5.75	1	2	2	2	3	1
134	16.5922619048	25.0595238095	28.0654761905	33.943452381	9.49350314288	17.4480485974	26.4298949245	32.6834130781	13.0428825238	21.2537862035	27.2476855575	33.3134327296	5.75	2	2	3	1	#	#
135	3.33333333333	5.95238095238	12.6041666667	17.3511904762	3.75562904588	18.4255089596	25.0698939863	26.2144666479	3.54448118961	12.188944956	18.8370303265	21.782828562	5.91666666667	1	2	3	1	5	0
136	10.4017857143	16.7708333333	24.4791666667	33.4077380952	8.90010789005	18.4990383713	29.4604324984	40.6080542265	9.65094680217	17.6349358523	26.9697995825	37.0078961609	6.41666666667	2	2	6	0	6	0
137	12.068452381	21.755952381	26.2946428571	36.2797619048	11.1193592269	15.1115254714	32.6607796229	41.2353410264	11.5939058039	18.4337389262	29.47771124	38.7575514656	6.5	2	2	6	0	6	0
138	18.4077380952	21.5476190476	29.2708333333	41.5773809524	13.2435031429	14.3479688526	31.2729852707	47.592292898	15.8256206191	17.9477939501	30.271909302	44.5848369252	5.83333333333	1	1	6	0	6	0
139	20.0446428571	23.3333333333	33.3482142857	34.806547619	19.8277277418	41.1275682522	38.946312975	49.1708884511	19.9361852995	32.2304507928	36.1472636303	41.9887180351	6.33333333333	1	2	3	1	7	0
141	19.5535714286	25.7291666667	33.7946428571	35.4613095238	18.9561638052	14.8467257716	34.6409137818	44.5338446383	19.2548676169	20.2879462192	34.2177783195	39.9975770811	6.25	1	1	3	1	2	2
142	19.3154761905	22.7976190476	34.568452381	36.9642857143	11.0910967258	29.0198423867	35.3104184257	38.8978797261	15.2032864581	25.9087307172	34.9394354033	37.9310827202	5.66666666667	2	1	3	1	3	1
143	17.5148809524	18.5863095238	21.5327380952	32.5297619048	8.51240735529	17.3775682522	35.8954873816	43.3013181349	13.0136441538	17.981938888	28.7141127384	37.9155400198	6.33333333333	2	2	3	1	4	0
144	24.0029761905	26.6369047619	35.3273809524	39.6130952381	27.731846327	35.3767942584	52.4437095412	55.2188291585	25.8674112588	31.0068495101	43.8855452468	47.4159621983	5.58333333333	1	1	3	1	2	2
145	21.9791666667	24.7767857143	36.2351190476	49.9851190476	28.6573552866	38.6140819964	51.1741251525	58.7903414954	25.3182609766	31.6954338554	43.7046221	54.3877302715	6.25	2	1	2	2	2	2
146	30.8035714286	35.0744047619	51.3392857143	72.5892857143	30.3633080026	41.5613566001	58.5851158645	61.573083779	30.5834397156	38.317880681	54.9622007894	67.0811847466	6.41666666667	1	1	3	1	3	1
147	16.8898809524	30.1339285714	33.9285714286	44.6726190476	19.0991181161	38.4618632142	37.8555680645	63.8967070082	17.9944995343	34.2978958928	35.8920697466	54.2846630279	6.16666666667	1	1	3	1	3	1
148	19.255952381	28.6755952381	36.3095238095	46.8601190476	14.0137442537	34.6816070926	39.0557275542	55.6347921944	16.6348483173	31.6786011653	37.6826256819	51.247455621	6.16666666667	1	1	4	0	3	1
149	29.0773809524	28.0357142857	37.3958333333	46.2648809524	15.2822731964	19.8174078244	25.7736419927	35.8954873816	22.1798270744	23.926561055	31.584737663	41.080184167	6.25	2	2	6	0	6	0
150	22.5892857143	32.4851190476	41.7261904762	47.5297619048	27.8588516746	41.9094192701	48.9456093442	50.753471245	25.2240686945	37.1972691589	45.3358999102	49.1416165749	6.33333333333	2	1	3	1	3	1
151	13.2142857143	24.4196428571	29.8214285714	64.0922619048	12.6850548832	32.8762078994	41.492987147	69.1379350783	12.9496702987	28.6479253783	35.6572078592	66.6150984915	6.33333333333	1	1	4	0	3	1
152	19.9255952381	25.1339285714	30.9672619048	34.8363095238	3.37719298246	10.6046533446	29.1863683272	43.8140303968	11.6513941103	17.869290958	30.076815116	39.3251699603	6.33333333333	1	2	6	0	7	0
153	14.2261904762	15.8928571429	27.2172619048	39.0773809524	12.984332489	17.4696266066	41.0250727085	51.7403133502	13.6052614826	16.6812418747	34.1211673066	45.4088471513	6.0	1	2	4	0	3	1
156	22.7380952381	35.6101190476	43.125	53.6904761905	27.5629749507	39.1868374144	46.6610376208	57.8420818088	25.1505350944	37.398478231	44.8930188104	55.7662789996	5.58333333333	1	1	2	2	2	2
157	19.0773809524	27.1279761905	36.2797619048	54.6577380952	27.123557557	32.5918238109	49.7317994183	56.8307298996	23.1004692547	29.8599000007	43.0057806615	55.7442339974	5.91666666667	1	1	3	1	2	2
159	21.7261904762	30.0	43.0357142857	60.8928571429	19.4764987335	42.1670653907	57.5979219439	77.1921615536	20.6013446048	36.0835326954	50.3168181148	69.0425093482	6.41666666667	1	1	3	1	3	1
160	26.9345238095	30.2380952381	47.0982142857	64.7470238095	23.5271836007	39.492330425	47.6694577352	57.3680692373	25.2308537051	34.8652128315	47.3838360105	61.0575465234	5.58333333333	1	2	2	2	2	2
161	22.5	29.8214285714	33.3035714286	48.8988095238	22.7616333615	36.6790974763	39.1262078994	72.3536448072	22.6308166807	33.2502630239	36.214889664	60.6262271655	6.25	2	1	3	1	2	2
162	19.4494047619	21.5476190476	25.3571428571	42.5892857143	14.7958298152	18.7412046158	36.7474669294	60.1231353786	17.1226172885	20.1444118317	31.0523048932	51.3562105464	6.58333333333	1	2	5	0	4	0
163	17.0982142857	23.2142857143	35.1488095238	44.181547619	7.71026831785	21.1928886387	33.6078665916	46.2765034243	12.4042413018	22.2035871765	34.3783380577	45.2290255217	5.58333333333	2	2	3	1	6	0
164	16.5178571429	17.0535714286	31.9047619048	33.7797619048	9.28886387091	10.778450136	21.603105357	35.1478797261	12.9033605069	13.9160107823	26.7539336309	34.4638208154	5.5	2	2	4	0	5	0
165	23.0803571429	26.1607142857	35.1488095238	52.8273809524	22.3672483347	16.816070926	35.5998452012	45.8651139882	22.7238027388	21.4883926058	35.3743273625	49.3462474703	5.58333333333	2	1	2	2	2	2
166	20.2678571429	20.9226190476	37.5892857143	48.2142857143	14.3546533446	31.7541514213	39.573482503	59.3681396003	17.3112552437	26.3383852345	38.5813841087	53.7912126573	6.5	2	1	3	1	2	2
168	26.5029761905	30.9523809524	40.1041666667	55.6845238095	27.0196547519	44.0798855427	39.6805516465	61.3421756262	26.7613154712	37.5161332476	39.8923591566	58.5133497179	6.08333333333	2	1	2	2	2	2
169	26.7410714286	29.494047619	42.2172619048	43.5119047619	17.0366591613	29.6076085937	44.3144291209	55.7385777277	21.8888652949	29.5508281064	43.2658455128	49.6252412448	5.58333333333	2	1	2	2	3	1
